"unitid","institution name","year","DRVIC2023.Tuition and fees, 2023-24"
"100663","University of Alabama at Birmingham","2023","8832"
"104151","Arizona State University Campus Immersion","2023","12051"
"104179","University of Arizona","2023","13626"
"110662","University of California-Los Angeles","2023","13747"
"110680","University of California-San Diego","2023","15265"
"110699","University of California-San Francisco","2023",
"110705","University of California-Santa Barbara","2023","14965"
"123961","University of Southern California","2023","68237"
"126562","University of Colorado Denver/Anschutz Medical Campus","2023","10017"
"126614","University of Colorado Boulder","2023","16430"
"129020","University of Connecticut","2023","20366"
"130794","Yale University","2023","64700"
"131496","Georgetown University","2023","65081"
"134130","University of Florida","2023","6381"
"135726","University of Miami","2023","59926"
"139658","Emory University","2023","60774"
"139959","University of Georgia","2023","11180"
"144050","University of Chicago","2023","66939"
"145600","University of Illinois Chicago","2023","14338"
"145637","University of Illinois Urbana-Champaign","2023","16004"
"147767","Northwestern University","2023","65997"
"153658","University of Iowa","2023","10964"
"155317","University of Kansas","2023","11700"
"157085","University of Kentucky","2023","13212"
"159373","Louisiana State University Health Sciences Center-New Orleans","2023",
"162928","Johns Hopkins University","2023","63340"
"163286","University of Maryland-College Park","2023","11505"
"164924","Boston College","2023","67680"
"164988","Boston University","2023","65168"
"166027","Harvard University","2023","59076"
"166683","Massachusetts Institute of Technology","2023","60156"
"170976","University of Michigan-Ann Arbor","2023","17228"
"171100","Michigan State University","2023","15988"
"174066","University of Minnesota-Twin Cities","2023","16488"
"178396","University of Missouri-Columbia","2023","14130"
"179867","Washington University in St Louis","2023","62982"
"181394","University of Nebraska at Omaha","2023","8370"
"186380","Rutgers University-New Brunswick","2023","17239"
"187958","University of New Mexico-Gallup Campus","2023","2575"
"190150","Columbia University in the City of New York","2023","69045"
"190415","Cornell University","2023","66014"
"193405","Icahn School of Medicine at Mount Sinai","2023",
"193900","New York University","2023","60438"
"195030","University of Rochester","2023","64348"
"198419","Duke University","2023","65805"
"199120","University of North Carolina at Chapel Hill","2023","8989"
"201645","Case Western Reserve University","2023","64671"
"201885","University of Cincinnati-Main Campus","2023","13570"
"204662","Ohio State University Agricultural Technical Institute","2023","9310"
"207342","University of Oklahoma-Health Sciences Center","2023",
"209490","Oregon Health & Science University","2023",
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2023","15944"
"215062","University of Pennsylvania","2023","66104"
"215266","University of Pittsburgh-Bradford","2023","14620"
"216339","Temple University","2023","22082"
"217156","Brown University","2023","68230"
"218335","Medical University of South Carolina","2023",
"218645","University of South Carolina Aiken","2023","10760"
"221759","The University of Tennessee-Knoxville","2023","13484"
"221999","Vanderbilt University","2023","63946"
"223223","Baylor College of Medicine","2023",
"228778","The University of Texas at Austin","2023","11678"
"229300","The University of Texas Health Science Center at Houston","2023",
"230764","University of Utah","2023","9315"
"233897","University of Virginia's College at Wise","2023","11656"
"234030","Virginia Commonwealth University","2023","16458"
"236948","University of Washington-Seattle Campus","2023","12643"
"239169","Medical College of Wisconsin","2023",
"240444","University of Wisconsin-Madison","2023","11205"
"243744","Stanford University","2023","62484"
"262086","University of Massachusetts Global","2023","12520"
