"unitid","institution name","year","DRVADM2023.Percent admitted - total","DRVADM2023.Admissions yield - total"
"100663","University of Alabama at Birmingham","2023","88","22"
"104151","Arizona State University Campus Immersion","2023","90","23"
"104179","University of Arizona","2023","86","19"
"110662","University of California-Los Angeles","2023","9","52"
"110680","University of California-San Diego","2023","25","22"
"110699","University of California-San Francisco","2023",,
"110705","University of California-Santa Barbara","2023","28","16"
"123961","University of Southern California","2023","10","45"
"126562","University of Colorado Denver/Anschutz Medical Campus","2023","78","14"
"126614","University of Colorado Boulder","2023","83","16"
"129020","University of Connecticut","2023","54","17"
"130794","Yale University","2023","5","70"
"131496","Georgetown University","2023","13","48"
"134130","University of Florida","2023","24","43"
"135726","University of Miami","2023","19","26"
"139658","Emory University","2023","11","40"
"139959","University of Georgia","2023","37","38"
"144050","University of Chicago","2023","5","88"
"145600","University of Illinois Chicago","2023","79","23"
"145637","University of Illinois Urbana-Champaign","2023","44","28"
"147767","Northwestern University","2023","7","57"
"153658","University of Iowa","2023","85","23"
"155317","University of Kansas","2023","88","31"
"157085","University of Kentucky","2023","92","25"
"159373","Louisiana State University Health Sciences Center-New Orleans","2023",,
"162928","Johns Hopkins University","2023","8","48"
"163286","University of Maryland-College Park","2023","45","23"
"164924","Boston College","2023","16","41"
"164988","Boston University","2023","11","36"
"166027","Harvard University","2023","3","84"
"166683","Massachusetts Institute of Technology","2023","5","86"
"170976","University of Michigan-Ann Arbor","2023","18","47"
"171100","Michigan State University","2023","84","19"
"174066","University of Minnesota-Twin Cities","2023","77","22"
"178396","University of Missouri-Columbia","2023","77","31"
"179867","Washington University in St Louis","2023","12","47"
"181394","University of Nebraska at Omaha","2023","87","25"
"186380","Rutgers University-New Brunswick","2023","65","27"
"187958","University of New Mexico-Gallup Campus","2023",,
"190150","Columbia University in the City of New York","2023","4","63"
"190415","Cornell University","2023","8","66"
"193405","Icahn School of Medicine at Mount Sinai","2023",,
"193900","New York University","2023","9","54"
"195030","University of Rochester","2023","36","20"
"198419","Duke University","2023","7","55"
"199120","University of North Carolina at Chapel Hill","2023","19","43"
"201645","Case Western Reserve University","2023","29","14"
"201885","University of Cincinnati-Main Campus","2023","88","24"
"204662","Ohio State University Agricultural Technical Institute","2023",,
"207342","University of Oklahoma-Health Sciences Center","2023",,
"209490","Oregon Health & Science University","2023",,
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2023","96","19"
"215062","University of Pennsylvania","2023","6","69"
"215266","University of Pittsburgh-Bradford","2023","91","7"
"216339","Temple University","2023","83","12"
"217156","Brown University","2023","5","63"
"218335","Medical University of South Carolina","2023",,
"218645","University of South Carolina Aiken","2023","80","27"
"221759","The University of Tennessee-Knoxville","2023","46","29"
"221999","Vanderbilt University","2023","6","57"
"223223","Baylor College of Medicine","2023",,
"228778","The University of Texas at Austin","2023","29","49"
"229300","The University of Texas Health Science Center at Houston","2023",,
"230764","University of Utah","2023","87","28"
"233897","University of Virginia's College at Wise","2023","94","22"
"234030","Virginia Commonwealth University","2023","93","25"
"236948","University of Washington-Seattle Campus","2023","43","26"
"239169","Medical College of Wisconsin","2023",,
"240444","University of Wisconsin-Madison","2023","43","29"
"243744","Stanford University","2023","4","81"
"262086","University of Massachusetts Global","2023",,
