"unitid","institution name","year","DRVEF2023.Full-time undergraduate enrollment","DRVEF2023.Percent of total enrollment that are Asian","DRVEF2023.Percent of total enrollment that are Black or African American","DRVEF2023.Percent of total enrollment that are Hispanic/Latino","DRVEF2023.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2023.Percent of total enrollment that are White","DRVEF2023.Number of first-time undergraduates - in-state","DRVEF2023.Percent of first-time undergraduates - in-state","DRVEF2023.Number of first-time undergraduates - out-of-state","DRVEF2023.Percent of first-time undergraduates - out-of-state","DRVEF2023.Number of first-time undergraduates - foreign countries","DRVEF2023.Percent of first-time undergraduates - foreign countries"
"100663","University of Alabama at Birmingham","2023","9841","8","22","6","0","49","1716","82","342","16","37","2"
"104151","Arizona State University Campus Immersion","2023","59707","8","4","23","0","40","8611","61","4448","32","1034","7"
"104179","University of Arizona","2023","34237","5","4","25","0","45","4561","50","4027","44","556","6"
"110662","University of California-Los Angeles","2023","32472","27","4","21","0","26","5193","79","873","13","516","8"
"110680","University of California-San Diego","2023","32852","31","2","22","0","19","5556","79","668","10","777","11"
"110699","University of California-San Francisco","2023","0","32","7","16","0","26",,,,,,
"110705","University of California-Santa Barbara","2023","22659","18","2","25","0","32","4023","80","465","9","554","11"
"123961","University of Southern California","2023","20502","20","6","16","0","23","1557","43","1384","38","682","19"
"126562","University of Colorado Denver/Anschutz Medical Campus","2023","8335","9","5","21","0","49","1361","85","209","13","39","2"
"126614","University of Colorado Boulder","2023","29840","6","2","13","0","64","4032","53","3391","45","119","2"
"129020","University of Connecticut","2023","18838","11","7","14","0","50","2423","58","1483","35","271","6"
"130794","Yale University","2023","6805","17","7","12","0","33","93","6","1323","81","225","14"
"131496","Georgetown University","2023","7220","12","6","8","0","42","28","2","1389","87","181","11"
"134130","University of Florida","2023","31571","10","5","21","0","48","5343","79","1023","15","376","6"
"135726","University of Miami","2023","12405","5","8","24","0","43","601","26","1525","66","181","8"
"139658","Emory University","2023","7263","19","13","10","0","34","178","12","961","67","287","20"
"139959","University of Georgia","2023","29799","11","7","7","0","64","5069","82","1050","17","23","0"
"144050","University of Chicago","2023","7617","16","5","11","0","30",,,,,,
"145600","University of Illinois Chicago","2023","19961","18","8","29","0","27","4150","89","199","4","285","6"
"145637","University of Illinois Urbana-Champaign","2023","34468","19","5","11","0","37","6118","73","1011","12","1103","13"
"147767","Northwestern University","2023","8794","16","6","10","0","35",,,,,,
"153658","University of Iowa","2023","20622","5","3","8","0","72","2657","52","2333","46","69","1"
"155317","University of Kansas","2023","18262","6","4","9","0","66","2889","55","2271","43","88","2"
"157085","University of Kentucky","2023","21818","4","7","6","0","74","3759","58","2599","40","79","1"
"159373","Louisiana State University Health Sciences Center-New Orleans","2023","758","11","12","7","0","65",,,,,,
"162928","Johns Hopkins University","2023","5607","16","7","10","0","35",,,,,,
"163286","University of Maryland-College Park","2023","28498","20","12","9","0","38","4260","69","1767","29","137","2"
"164924","Boston College","2023","9856","9","5","10","0","56",,,,,,
"164988","Boston University","2023","17899","15","5","9","0","33","425","14","1910","61","809","26"
"166027","Harvard University","2023","7316","15","6","9","0","33","241","15","1145","70","257","16"
"166683","Massachusetts Institute of Technology","2023","4543","21","5","10","0","23","89","8","879","81","123","11"
"170976","University of Michigan-Ann Arbor","2023","32345","16","5","9","0","45",,,,,,
"171100","Michigan State University","2023","37492","8","6","6","0","64","7226","76","1689","18","609","6"
"174066","University of Minnesota-Twin Cities","2023","29124","11","7","6","0","56","4426","66","1771","26","488","7"
"178396","University of Missouri-Columbia","2023","22090","3","5","5","0","76","3414","66","1689","33","31","1"
"179867","Washington University in St Louis","2023","7576","14","7","9","0","36","219","12","1387","76","222","12"
"181394","University of Nebraska at Omaha","2023","9910","5","7","15","0","62","1944","90","154","7","57","3"
"186380","Rutgers University-New Brunswick","2023","35082","29","8","15","0","33","6479","84","622","8","531","7"
"187958","University of New Mexico-Gallup Campus","2023","668","3","0","16","0","6","149","83","23","13","7","4"
"190150","Columbia University in the City of New York","2023","8428","13","5","9","0","25",,,,,,
"190415","Cornell University","2023","15899","19","6","11","0","29","1148","32","1953","55","360","10"
"193405","Icahn School of Medicine at Mount Sinai","2023","0","23","9","12","0","32",,,,,,
"193900","New York University","2023","28692","17","6","12","0","24","1350","23","2900","50","1564","27"
"195030","University of Rochester","2023","6350","13","5","7","0","37",,,,,,
"198419","Duke University","2023","6435","14","7","8","0","36",,,,,,
"199120","University of North Carolina at Chapel Hill","2023","19840","13","9","9","0","54","3735","79","723","15","221","5"
"201645","Case Western Reserve University","2023","6093","20","7","9","0","39","210","14","1064","69","184","12"
"201885","University of Cincinnati-Main Campus","2023","26296","6","8","5","0","65","5301","77","1382","20","228","3"
"204662","Ohio State University Agricultural Technical Institute","2023","424","0","2","2","0","91","224","99","2","1","0","0"
"207342","University of Oklahoma-Health Sciences Center","2023","1101","12","4","8","0","59",,,,,,
"209490","Oregon Health & Science University","2023","494","13","3","14","0","59",,,,,,
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2023","3063","5","4","4","0","77",,,,,,
"215062","University of Pennsylvania","2023","10610","19","7","8","0","30","350","14","1663","69","322","13"
"215266","University of Pittsburgh-Bradford","2023","951","4","11","7","0","66","184","59","107","35","18","6"
"216339","Temple University","2023","19944","15","16","9","0","45",,,,,,
"217156","Brown University","2023","7220","17","8","11","0","32","58","3","1372","81","262","15"
"218335","Medical University of South Carolina","2023","269","8","9","6","0","68",,,,,,
"218645","University of South Carolina Aiken","2023","2441","2","21","8","0","61","543","88","66","11","4","1"
"221759","The University of Tennessee-Knoxville","2023","27851","3","4","6","0","77","3859","58","2773","41","62","1"
"221999","Vanderbilt University","2023","7087","13","9","10","0","46","203","13","1222","75","188","12"
"223223","Baylor College of Medicine","2023","0","23","7","15","0","40",,,,,,
"228778","The University of Texas at Austin","2023","39787","22","5","25","0","33","8219","88","803","9","338","4"
"229300","The University of Texas Health Science Center at Houston","2023","405","20","11","18","0","30",,,,,,
"230764","University of Utah","2023","22374","6","1","13","0","61",,,,,,
"233897","University of Virginia's College at Wise","2023","1219","2","9","1","0","51","216","74","73","25","0","0"
"234030","Virginia Commonwealth University","2023","18595","13","19","10","0","42","4150","92","276","6","62","1"
