"unitid","institution name","year","DRVIC2023.Tuition and fees, 2023-24"
"107141","John Brown University","2023","30832"
"110592","California State University-Los Angeles","2023","6813"
"110635","University of California-Berkeley","2023","14850"
"110644","University of California-Davis","2023","15247"
"110653","University of California-Irvine","2023","14237"
"110680","University of California-San Diego","2023","15265"
"123651","Vanguard University of Southern California","2023","39950"
"130794","Yale University","2023","64700"
"132842","Albizu University-Miami","2023","13128"
"134097","Florida State University","2023","5656"
"139658","Emory University","2023","60774"
"145600","University of Illinois Chicago","2023","14338"
"145637","University of Illinois Urbana-Champaign","2023","16004"
"151102","Purdue University Fort Wayne","2023","9254"
"160038","Northwestern State University of Louisiana","2023","8864"
"162928","Johns Hopkins University","2023","63340"
"164988","Boston University","2023","65168"
"166027","Harvard University","2023","59076"
"166683","Massachusetts Institute of Technology","2023","60156"
"168148","Tufts University","2023","67844"
"170976","University of Michigan-Ann Arbor","2023","17228"
"171100","Michigan State University","2023","15988"
"174066","University of Minnesota-Twin Cities","2023","16488"
"179867","Washington University in St Louis","2023","62982"
"186131","Princeton University","2023","59710"
"190150","Columbia University in the City of New York","2023","69045"
"196176","State University of New York at New Paltz","2023","8524"
"198419","Duke University","2023","65805"
"199120","University of North Carolina at Chapel Hill","2023","8989"
"199193","North Carolina State University at Raleigh","2023","8895"
"201645","Case Western Reserve University","2023","64671"
"209490","Oregon Health & Science University","2023",
"211024","Clarks Summit University","2023","32400"
"214625","Pennsylvania State University-Penn State New Kensington","2023","14380"
"215293","University of Pittsburgh-Pittsburgh Campus","2023","21524"
"221999","Vanderbilt University","2023","63946"
"228778","The University of Texas at Austin","2023","11678"
"237011","Western Washington University","2023","9286"
"240444","University of Wisconsin-Madison","2023","11205"
"243744","Stanford University","2023","62484"
