"unitid","institution name","year","DRVADM2023.Percent admitted - total","DRVADM2023.Admissions yield - total","DRVIC2023.Tuition and fees, 2023-24","DRVEF2023.Full-time undergraduate enrollment","DRVEF2023.Percent of total enrollment that are Asian","DRVEF2023.Percent of total enrollment that are Black or African American","DRVEF2023.Percent of total enrollment that are Hispanic/Latino","DRVEF2023.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2023.Percent of total enrollment that are White","DRVEF2023.Number of first-time undergraduates - in-state","DRVEF2023.Percent of first-time undergraduates - in-state","DRVEF2023.Number of first-time undergraduates - out-of-state","DRVEF2023.Percent of first-time undergraduates - out-of-state","DRVEF2023.Number of first-time undergraduates - foreign countries","DRVEF2023.Percent of first-time undergraduates - foreign countries","SFA2223.Percent of full-time first-time undergraduates awarded Pell grants","XPGRNT_P"
"107141","John Brown University","2023","68","37","30832","1327","2","4","10","0","68",,,,,,,"24","R"
"110592","California State University-Los Angeles","2023","92","12","6813","17785","10","4","74","0","5","3581","99","9","0","24","1","77","R"
"110635","University of California-Berkeley","2023","12","45","14850","31548","31","3","19","0","22","5271","79","678","10","692","10","24","R"
"110644","University of California-Davis","2023","42","17","15247","30929","28","2","23","0","23","5206","79","348","5","1020","16","25","R"
"110653","University of California-Irvine","2023","26","22","14237","28884","35","2","24","0","15","5222","77","525","8","1045","15","35","R"
"110680","University of California-San Diego","2023","25","22","15265","32852","31","2","22","0","19","5556","79","668","10","777","11","40","R"
"123651","Vanguard University of Southern California","2023","65","23","39950","1811","5","5","46","1","31","451","90","49","10","0","0","50","R"
"130794","Yale University","2023","5","70","64700","6805","17","7","12","0","33","93","6","1323","81","225","14","20","R"
"132842","Albizu University-Miami","2023","100","59","13128","116","1","5","80","0","6",,,,,,,"67","R"
"134097","Florida State University","2023","25","31","5656","29011","4","9","21","0","56","4908","83","916","16","65","1","21","R"
"139658","Emory University","2023","11","40","60774","7263","19","13","10","0","34","178","12","961","67","287","20","16","R"
"145600","University of Illinois Chicago","2023","79","23","14338","19961","18","8","29","0","27","4150","89","199","4","285","6","56","R"
"145637","University of Illinois Urbana-Champaign","2023","44","28","16004","34468","19","5","11","0","37","6118","73","1011","12","1103","13","22","R"
"151102","Purdue University Fort Wayne","2023","86","25","9254","4607","5","6","9","0","70","1147","83","173","13","57","4","40","R"
"160038","Northwestern State University of Louisiana","2023","94","35","8864","4528","1","25","5","0","58",,,,,,,"54","R"
"162928","Johns Hopkins University","2023","8","48","63340","5607","16","7","10","0","35",,,,,,,"22","R"
"164988","Boston University","2023","11","36","65168","17899","15","5","9","0","33","425","14","1910","61","809","26","19","R"
"166027","Harvard University","2023","3","84","59076","7316","15","6","9","0","33","241","15","1145","70","257","16","21","R"
"166683","Massachusetts Institute of Technology","2023","5","86","60156","4543","21","5","10","0","23","89","8","879","81","123","11","18","R"
"168148","Tufts University","2023","10","50","67844","6685","16","6","10","0","43","388","22","1114","64","233","13","12","R"
"170976","University of Michigan-Ann Arbor","2023","18","47","17228","32345","16","5","9","0","45",,,,,,,"18","R"
"171100","Michigan State University","2023","84","19","15988","37492","8","6","6","0","64","7226","76","1689","18","609","6","18","R"
"174066","University of Minnesota-Twin Cities","2023","77","22","16488","29124","11","7","6","0","56","4426","66","1771","26","488","7","22","R"
"179867","Washington University in St Louis","2023","12","47","62982","7576","14","7","9","0","36","219","12","1387","76","222","12","20","R"
"186131","Princeton University","2023","4","77","59710","5598","19","7","9","0","33","213","16","973","71","178","13","19","R"
"190150","Columbia University in the City of New York","2023","4","63","69045","8428","13","5","9","0","25",,,,,,,"22","R"
"196176","State University of New York at New Paltz","2023","59","12","8524","5564","5","7","21","0","60","1063","95","52","5","3","0","34","R"
"198419","Duke University","2023","7","55","65805","6435","14","7","8","0","36",,,,,,,"11","R"
"199120","University of North Carolina at Chapel Hill","2023","19","43","8989","19840","13","9","9","0","54","3735","79","723","15","221","5","17","R"
"199193","North Carolina State University at Raleigh","2023","40","36","8895","24925","8","6","8","0","61","4883","85","723","13","99","2","18","R"
"201645","Case Western Reserve University","2023","29","14","64671","6093","20","7","9","0","39","210","14","1064","69","184","12","17","R"
"209490","Oregon Health & Science University","2023",,,,"494","13","3","14","0","59",,,,,,,,"A"
"211024","Clarks Summit University","2023","90","36","32400","264","3","6","7","0","77",,,,,,,"44","R"
"214625","Pennsylvania State University-Penn State New Kensington","2023","93","21","14380","387","2","6","6","0","76",,,,,,,"36","R"
"215293","University of Pittsburgh-Pittsburgh Campus","2023","50","16","21524","19618","12","6","6","0","60","2546","56","1738","38","233","5","16","R"
"221999","Vanderbilt University","2023","6","57","63946","7087","13","9","10","0","46","203","13","1222","75","188","12","22","R"
"228778","The University of Texas at Austin","2023","29","49","11678","39787","22","5","25","0","33","8219","88","803","9","338","4","27","R"
"237011","Western Washington University","2023","91","24","9286","12327","6","2","11","0","69","2634","83","523","16","26","1","21","R"
"240444","University of Wisconsin-Madison","2023","43","29","11205","34278","9","3","8","0","57","3783","48","3498","44","675","8","17","R"
"243744","Stanford University","2023","4","81","62484","7841","22","6","13","0","25","629","37","800","47","269","16","20","R"
