"unitid","institution name","year","SFA2223.Percent of full-time first-time undergraduates awarded Pell grants","XPGRNT_P"
"107141","John Brown University","2023","24","R"
"110592","California State University-Los Angeles","2023","77","R"
"110635","University of California-Berkeley","2023","24","R"
"110644","University of California-Davis","2023","25","R"
"110653","University of California-Irvine","2023","35","R"
"110680","University of California-San Diego","2023","40","R"
"123651","Vanguard University of Southern California","2023","50","R"
"130794","Yale University","2023","20","R"
"132842","Albizu University-Miami","2023","67","R"
"134097","Florida State University","2023","21","R"
"139658","Emory University","2023","16","R"
"145600","University of Illinois Chicago","2023","56","R"
"145637","University of Illinois Urbana-Champaign","2023","22","R"
"151102","Purdue University Fort Wayne","2023","40","R"
"160038","Northwestern State University of Louisiana","2023","54","R"
"162928","Johns Hopkins University","2023","22","R"
"164988","Boston University","2023","19","R"
"166027","Harvard University","2023","21","R"
"166683","Massachusetts Institute of Technology","2023","18","R"
"168148","Tufts University","2023","12","R"
"170976","University of Michigan-Ann Arbor","2023","18","R"
"171100","Michigan State University","2023","18","R"
"174066","University of Minnesota-Twin Cities","2023","22","R"
"179867","Washington University in St Louis","2023","20","R"
"186131","Princeton University","2023","19","R"
"190150","Columbia University in the City of New York","2023","22","R"
"196176","State University of New York at New Paltz","2023","34","R"
"198419","Duke University","2023","11","R"
"199120","University of North Carolina at Chapel Hill","2023","17","R"
"199193","North Carolina State University at Raleigh","2023","18","R"
"201645","Case Western Reserve University","2023","17","R"
"209490","Oregon Health & Science University","2023",,"A"
"211024","Clarks Summit University","2023","44","R"
"214625","Pennsylvania State University-Penn State New Kensington","2023","36","R"
"215293","University of Pittsburgh-Pittsburgh Campus","2023","16","R"
"221999","Vanderbilt University","2023","22","R"
"228778","The University of Texas at Austin","2023","27","R"
"237011","Western Washington University","2023","21","R"
"240444","University of Wisconsin-Madison","2023","17","R"
"243744","Stanford University","2023","20","R"
