"unitid","institution name","year","DRVADM2023.Percent admitted - total","DRVADM2023.Admissions yield - total"
"107141","John Brown University","2023","68","37"
"110592","California State University-Los Angeles","2023","92","12"
"110635","University of California-Berkeley","2023","12","45"
"110644","University of California-Davis","2023","42","17"
"110653","University of California-Irvine","2023","26","22"
"110680","University of California-San Diego","2023","25","22"
"123651","Vanguard University of Southern California","2023","65","23"
"130794","Yale University","2023","5","70"
"132842","Albizu University-Miami","2023","100","59"
"134097","Florida State University","2023","25","31"
"139658","Emory University","2023","11","40"
"145600","University of Illinois Chicago","2023","79","23"
"145637","University of Illinois Urbana-Champaign","2023","44","28"
"151102","Purdue University Fort Wayne","2023","86","25"
"160038","Northwestern State University of Louisiana","2023","94","35"
"162928","Johns Hopkins University","2023","8","48"
"164988","Boston University","2023","11","36"
"166027","Harvard University","2023","3","84"
"166683","Massachusetts Institute of Technology","2023","5","86"
"168148","Tufts University","2023","10","50"
"170976","University of Michigan-Ann Arbor","2023","18","47"
"171100","Michigan State University","2023","84","19"
"174066","University of Minnesota-Twin Cities","2023","77","22"
"179867","Washington University in St Louis","2023","12","47"
"186131","Princeton University","2023","4","77"
"190150","Columbia University in the City of New York","2023","4","63"
"196176","State University of New York at New Paltz","2023","59","12"
"198419","Duke University","2023","7","55"
"199120","University of North Carolina at Chapel Hill","2023","19","43"
"199193","North Carolina State University at Raleigh","2023","40","36"
"201645","Case Western Reserve University","2023","29","14"
"209490","Oregon Health & Science University","2023",,
"211024","Clarks Summit University","2023","90","36"
"214625","Pennsylvania State University-Penn State New Kensington","2023","93","21"
"215293","University of Pittsburgh-Pittsburgh Campus","2023","50","16"
"221999","Vanderbilt University","2023","6","57"
"228778","The University of Texas at Austin","2023","29","49"
"237011","Western Washington University","2023","91","24"
"240444","University of Wisconsin-Madison","2023","43","29"
"243744","Stanford University","2023","4","81"
