"unitid","institution name","year","DRVEF2023.Full-time undergraduate enrollment","DRVEF2023.Percent of total enrollment that are Asian","DRVEF2023.Percent of total enrollment that are Black or African American","DRVEF2023.Percent of total enrollment that are Hispanic/Latino","DRVEF2023.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2023.Percent of total enrollment that are White","DRVEF2023.Number of first-time undergraduates - in-state","DRVEF2023.Percent of first-time undergraduates - in-state","DRVEF2023.Number of first-time undergraduates - out-of-state","DRVEF2023.Percent of first-time undergraduates - out-of-state","DRVEF2023.Number of first-time undergraduates - foreign countries","DRVEF2023.Percent of first-time undergraduates - foreign countries"
"107141","John Brown University","2023","1327","2","4","10","0","68",,,,,,
"110592","California State University-Los Angeles","2023","17785","10","4","74","0","5","3581","99","9","0","24","1"
"110635","University of California-Berkeley","2023","31548","31","3","19","0","22","5271","79","678","10","692","10"
"110644","University of California-Davis","2023","30929","28","2","23","0","23","5206","79","348","5","1020","16"
"110653","University of California-Irvine","2023","28884","35","2","24","0","15","5222","77","525","8","1045","15"
"110680","University of California-San Diego","2023","32852","31","2","22","0","19","5556","79","668","10","777","11"
"123651","Vanguard University of Southern California","2023","1811","5","5","46","1","31","451","90","49","10","0","0"
"130794","Yale University","2023","6805","17","7","12","0","33","93","6","1323","81","225","14"
"132842","Albizu University-Miami","2023","116","1","5","80","0","6",,,,,,
"134097","Florida State University","2023","29011","4","9","21","0","56","4908","83","916","16","65","1"
"139658","Emory University","2023","7263","19","13","10","0","34","178","12","961","67","287","20"
"145600","University of Illinois Chicago","2023","19961","18","8","29","0","27","4150","89","199","4","285","6"
"145637","University of Illinois Urbana-Champaign","2023","34468","19","5","11","0","37","6118","73","1011","12","1103","13"
"151102","Purdue University Fort Wayne","2023","4607","5","6","9","0","70","1147","83","173","13","57","4"
"160038","Northwestern State University of Louisiana","2023","4528","1","25","5","0","58",,,,,,
"162928","Johns Hopkins University","2023","5607","16","7","10","0","35",,,,,,
"164988","Boston University","2023","17899","15","5","9","0","33","425","14","1910","61","809","26"
"166027","Harvard University","2023","7316","15","6","9","0","33","241","15","1145","70","257","16"
"166683","Massachusetts Institute of Technology","2023","4543","21","5","10","0","23","89","8","879","81","123","11"
"168148","Tufts University","2023","6685","16","6","10","0","43","388","22","1114","64","233","13"
"170976","University of Michigan-Ann Arbor","2023","32345","16","5","9","0","45",,,,,,
"171100","Michigan State University","2023","37492","8","6","6","0","64","7226","76","1689","18","609","6"
"174066","University of Minnesota-Twin Cities","2023","29124","11","7","6","0","56","4426","66","1771","26","488","7"
"179867","Washington University in St Louis","2023","7576","14","7","9","0","36","219","12","1387","76","222","12"
"186131","Princeton University","2023","5598","19","7","9","0","33","213","16","973","71","178","13"
"190150","Columbia University in the City of New York","2023","8428","13","5","9","0","25",,,,,,
"196176","State University of New York at New Paltz","2023","5564","5","7","21","0","60","1063","95","52","5","3","0"
"198419","Duke University","2023","6435","14","7","8","0","36",,,,,,
"199120","University of North Carolina at Chapel Hill","2023","19840","13","9","9","0","54","3735","79","723","15","221","5"
"199193","North Carolina State University at Raleigh","2023","24925","8","6","8","0","61","4883","85","723","13","99","2"
"201645","Case Western Reserve University","2023","6093","20","7","9","0","39","210","14","1064","69","184","12"
"209490","Oregon Health & Science University","2023","494","13","3","14","0","59",,,,,,
"211024","Clarks Summit University","2023","264","3","6","7","0","77",,,,,,
"214625","Pennsylvania State University-Penn State New Kensington","2023","387","2","6","6","0","76",,,,,,
"215293","University of Pittsburgh-Pittsburgh Campus","2023","19618","12","6","6","0","60","2546","56","1738","38","233","5"
"221999","Vanderbilt University","2023","7087","13","9","10","0","46","203","13","1222","75","188","12"
"228778","The University of Texas at Austin","2023","39787","22","5","25","0","33","8219","88","803","9","338","4"
"237011","Western Washington University","2023","12327","6","2","11","0","69","2634","83","523","16","26","1"
"240444","University of Wisconsin-Madison","2023","34278","9","3","8","0","57","3783","48","3498","44","675","8"
"243744","Stanford University","2023","7841","22","6","13","0","25","629","37","800","47","269","16"
