name,state,par_mean,par_median
ASA Institute Of Business & Computer Technology,NY,35390.39680397727,29000
Abilene Christian University,TX,138760.9698057433,101000
Abraham Baldwin Agricultural College,GA,80366.66126794038,66000
Academy Of Art University,CA,166594.9696116342,92300
Adams State University,CO,76121.81634004238,67200
Adelphi University,NY,130723.7409084398,96300
Adirondack Community College - SUNY Office Of Community Colleges,NY,75699.25195607089,69900
Adrian College,MI,113708.1117154993,88500
Advanced Institute Of Hair Design,WI,90962.75,78100
Advanced Technology Institute,VA,69400.14868227807,57200
Adventist University Of Health Sciences,FL,73132.16145833333,62900
Agnes Scott College,GA,148536.1145833333,97200
Aiken Technical College,SC,67392.41217169627,64100
Alabama Agricultural & Mechanical University,AL,57659.15268870319,44500
Alabama Southern Community College,AL,61075.67017914147,44300
Alamance Community College,NC,72254.93519895499,61200
Alamo Community College District,TX,65078.97563310532,50600
Albany College Of Pharmacy And Health Sciences,NY,90997.46875,95800
Albany State University,GA,54718.25915956894,43800
Albany Technical College,GA,43728.09114583334,29200
Albertus Magnus College,CT,89400.36429251269,68600
Albion College,MI,159765.4010416667,120700
Albright College,PA,139372.1685327097,89000
Alderson Broaddus University,WV,68810.96589781746,59500
Alfred University,NY,133071.2605674945,90800
Allan Hancock College,CA,76983.84114583333,65700
Allegany College Of Maryland,MD,66930.8203125,57900
Allegheny College,PA,142412.0833333333,102800
Allen County Community College,KS,74845.65543903527,65000
Alma College,MI,120659.5260416667,98200
Alpena Community College,MI,68727.44270833333,60600
Altamaha Technical College,GA,48751.51171875,35700
Alvernia University,PA,94909.35131487716,84300
Alverno College,WI,76471.0096564441,65600
Alvin Community College,TX,95668.52346063672,84500
Amarillo College,TX,70729.8615727633,58500
"American Career College of Los Angeles, CA",CA,55879.31640625,30400
American Institute Of Business,IA,77755.5766354572,66000
American Intercontinental University,IL,62196.2002351826,44700
American International College,MA,79213.42305367505,68700
American Musical & Dramatic Academy,NY,115011.5703125,88800
American National University,VA,43873.0047026699,38300
American University ,DC,305748.2661963584,135700
Amherst College,MA,440985.716932207,181300
Ancilla Domini College,IN,72471.06686761811,61300
"Anderson University of Anderson, IN",IN,116464.4858957095,88400
"Anderson University of Anderson, SC",SC,89558.53370949074,75900
Andrews University,MI,101521.1542274746,73900
Angelina College,TX,55254.56239543499,45900
Angelo State University,TX,79315.07840452982,68400
Anna Maria College,MA,108239.2152279713,90400
Anne Arundel Community College,MD,105564.4281815749,91100
Antelope Valley College,CA,71043.66439064141,66600
Anthem College And The Bryman School Of Arizona,AZ,51869.36067708334,41100
Anthem Institute,NJ,75983.01010243468,56900
Antonelli College,MS,50262.57462549116,37200
Appalachian State University,NC,139395.6926024787,105900
Aquinas College,MI,129991.28515625,94800
Arapahoe Community College,CO,110998.9340136203,93800
Arcadia University,PA,148066.9624797735,92200
Argosy University,CA,101653.7676601891,84000
Arizona State And Northern Arizona University And University Of Arizona,AZ,178288.577719341,110700
Arizona Western College,AZ,51295.79963845505,38600
Arkansas Northeastern College,AR,50379.58791626778,37100
Arkansas State University,AR,74970.92897678875,60800
Arkansas State University - Beebe,AR,70249.69388249742,63100
Arkansas Tech University,AR,76237.43459461532,63200
Armstrong Atlantic State University,GA,88486.62059499489,76000
Art Center College Of Design,CA,140836.1458333333,84800
Art Institute Of Colorado ,CO,105818.0471783498,74200
Art Institute Of Fort Lauderdale ,FL,84857.70898066887,55400
Art Institute Of Houston ,TX,96153.09433447632,58000
Art Institute Of New York City ,NY,64366.34010416667,45900
Art Institute Of Philadelphia ,PA,90855.07113405256,68000
Art Institute Of Phoenix ,KY,93344.60825545172,73600
Art Institute Of Pittsburgh ,PA,83031.68950252951,63800
Art Institute Of Portland ,OR,102883.9385006158,78400
Art Institute Of Seattle ,WA,117711.216091805,78700
Art Institute Of York  - Pennsylvania,PA,87538.40199473799,74500
Art Institutes International Minnesota ,MN,90425.84187893909,77200
Asbury College,KY,123413.0130208333,91700
Asheville Buncombe Technical Community College,NC,73968.66062528001,62200
Ashland University,OH,103633.1471278902,84600
Asnuntuck Community College,CT,92144.84011063664,83300
Assumption College,MA,148849.7908216783,120100
Athens Technical College,GA,73254.09133463542,57200
Atlanta Metropolitan  State College,GA,52692.98152980382,38900
Atlanta Technical College,GA,41963.90234375,32000
Atlantic Cape Community College,NJ,72492.311944148,60000
Auburn University,AL,194404.8582692976,123200
Auburn University Montgomery,AL,84780.36574968828,73600
Augsburg College,MN,153407.3375924844,99100
Augusta Technical College,GA,58063.9443582044,46700
"Augustana College of Rock Island, IL",IL,148707.091325431,114300
"Augustana College of Sioux Falls, SD",SD,119812.8255872662,93200
Aurora University,IL,99982.84526481148,87100
Austin College,TX,152914.6209284521,109300
Austin Community College,TX,109773.5039871185,77100
Austin Peay State University,TN,83845.63542725603,66600
Automotive Training Center,PA,84929.57891887991,74600
Aveda Institute,MN,99756.54845991293,83400
Aveda Institute Covington,LA,84806.2578125,63000
Averett University,VA,86056.16000164907,65400
Avila University,MO,138463.9635416667,88200
Azusa Pacific University,CA,172835.4880779882,103700
Babson College,MA,292542.2134477731,140500
Bainbridge State College,GA,49669.58982968187,35300
Baker College,MI,70673.76007666787,61400
Baker University,KS,150457.8955095228,96200
Baldwin Wallace University,OH,105043.5250151699,89200
Ball State University,IN,111459.0096680963,94900
Baltimore School Of Massage,MD,70166.98958333333,70600
Baptist Bible College,MO,72203.76822916667,67700
Baptist Bible College Of Pennsylvania,PA,87674.39153761062,67500
Bard College,NY,340615.7279947916,117900
Barnard College,NY,310543.0638037049,148000
Barry University,FL,116412.1854752445,69500
Barstow Community College,CA,62711.74122591963,58000
Barton College,NC,99189.09635416669,87500
Barton County Community College,KS,59945.31674697706,52600
Bates College,ME,330710.9493071819,176900
Bates Technical College,WA,74478.24720539647,65000
Bay De Noc Community College,MI,73573.13020833333,64800
Bay Path College,MA,93687.75479714911,84100
Bay State College,MA,72966.30729166667,55000
Baylor University,TX,215777.8602008456,132400
Beaufort County Community College,NC,54211.49915733546,46400
Becker College,MA,87529.21964347978,75500
Bel - Rea Institute Of Animal Technology,CO,97078.15885416669,81700
Belhaven University,MS,92393.31510416669,77300
Bellarmine University,KY,135061.6649141772,98200
Bellevue College,WA,143430.1454268567,97000
Bellevue University,NE,87138.01668274941,73100
Bellingham Technical College,WA,79678.37288896277,63900
Belmont Abbey College,NC,124431.8340764578,97900
Belmont College,OH,58512.50717722751,53000
Belmont University,TN,187916.1580901798,116700
Beloit College,WI,178407.6344114314,109800
Benedictine College,KS,104279.5052083333,90200
Benedictine University,IL,130073.1927083333,104500
Bennett College,NC,59536.14465525794,50000
Bennington College,VT,167420.252799131,99200
Bentley University,MA,188624.2859943068,119600
Bergen Community College,NJ,97734.94201933214,72000
"Berkeley College of New York, NY",NY,61200.79279548891,42500
"Berkeley College of Woodland Park, NJ",NJ,70132.76352163461,51200
Berklee College Of Music,MA,214504.3778281451,119300
Berkshire Community College,MA,88979.13946049528,66000
Berry College,GA,133228.0208333333,103100
Beth Medrash Govoha Of America,NJ,185551.8811808968,91100
"Bethany College of Bethany, WV",WV,84672.02864583333,77600
"Bethany College of Lindsborg, KS",KS,88647.19835737179,73700
Bethany Lutheran College,MN,89334.94181801994,76000
Bethel College,IN,106638.6623692966,81300
"Bethel University of McKenzie, TN",TN,67322.70833333333,54700
"Bethel University of Saint Paul, MN",MN,152973.1176552106,100000
Bethune Cookman University,FL,55685.3671875,43000
Bevill State Community College,AL,58937.8853443287,50100
Big Bend Community College,WA,73206.44811252321,64400
Binghamton University,NY,117250.8661511076,104400
Biola University,CA,159678.2209501558,95300
Birmingham Southern College,AL,232673.821232679,137900
Bishop State Community College,AL,45969.41987824675,31400
Bismarck State College,ND,75442.06240383595,68300
Black Hawk College,IL,78878.48803898532,74000
Black River Technical College,AR,53706.24563929738,41100
Blackburn University,IL,74065.265625,65800
Blackhawk Technical College,WI,77468.63986177885,73400
Bladen Community College,NC,46182.47516324627,36100
Blinn College,TX,109053.6045543478,83400
Bloomfield College,NJ,52584.27923664648,40800
Bloomsburg University Of Pennsylvania,PA,101333.0934925605,89800
Blue Mountain Community College,OR,67935.078125,61400
"Blue Ridge Community College of Flat Rock, NC",NC,69763.49963905287,60800
"Blue Ridge Community College of Weyers Cave, VA",VA,84341.15470587206,71600
Bluefield State College,WV,60400.96442407025,54700
Bluffton University,OH,90094.58333333331,77100
Boise State University,ID,94480.98081686436,77100
Boricua College,NY,37878.39322916666,28900
Bossier Parish Community College,LA,75891.86944867886,63000
Boston College,MA,394426.3456564344,168400
Boston University,MA,262524.4335280317,126800
Bowdoin College,ME,410517.6497208931,177600
Bowling Green State University,OH,114765.6494977266,92800
"Bradford School of Columbus, OH",OH,60225.62760416666,54100
"Bradford School of Pittsburgh, PA",PA,77006.546875,69400
Bradley University,IL,158446.4213228076,112900
Brandeis University,MA,299664.4729385198,142700
Brazosport College,TX,80082.90404990337,74000
Brenau University,GA,126124.5116506177,87000
Brevard College,NC,193567.7092086835,93900
Brewton Parker College,GA,70745.015625,63400
Briar Cliff University,IA,88356.02157059741,74400
Briarcliffe College,NY,82617.98061096051,64800
