unitid,institution,year,pct_pell,pct_admitted,admissions_yield,tuition_fees,enrollment_ft,pct_asian,pct_black,pct_hispanic,pct_native_hawaiian,pct_white,enrollment_ft_in_state,pct_enrollment_ft_in_state,enrollment_ft_out_of_state,pct_enrollment_ft_out_of_state,enrollment_ft_foreign_countries,pct_enrollment_ft_foreign_countries
107141,John Brown University,2023,24.0,68.0,37.0,30832.0,1327,2,4,10,0,68,,,,,,
110592,California State University-Los Angeles,2023,77.0,92.0,12.0,6813.0,17785,10,4,74,0,5,3581.0,99.0,9.0,0.0,24.0,1.0
110635,University of California-Berkeley,2023,24.0,12.0,45.0,14850.0,31548,31,3,19,0,22,5271.0,79.0,678.0,10.0,692.0,10.0
110644,University of California-Davis,2023,25.0,42.0,17.0,15247.0,30929,28,2,23,0,23,5206.0,79.0,348.0,5.0,1020.0,16.0
110653,University of California-Irvine,2023,35.0,26.0,22.0,14237.0,28884,35,2,24,0,15,5222.0,77.0,525.0,8.0,1045.0,15.0
110680,University of California-San Diego,2023,40.0,25.0,22.0,15265.0,32852,31,2,22,0,19,5556.0,79.0,668.0,10.0,777.0,11.0
123651,Vanguard University of Southern California,2023,50.0,65.0,23.0,39950.0,1811,5,5,46,1,31,451.0,90.0,49.0,10.0,0.0,0.0
130794,Yale University,2023,20.0,5.0,70.0,64700.0,6805,17,7,12,0,33,93.0,6.0,1323.0,81.0,225.0,14.0
132842,Albizu University-Miami,2023,67.0,100.0,59.0,13128.0,116,1,5,80,0,6,,,,,,
134097,Florida State University,2023,21.0,25.0,31.0,5656.0,29011,4,9,21,0,56,4908.0,83.0,916.0,16.0,65.0,1.0
139658,Emory University,2023,16.0,11.0,40.0,60774.0,7263,19,13,10,0,34,178.0,12.0,961.0,67.0,287.0,20.0
145600,University of Illinois Chicago,2023,56.0,79.0,23.0,14338.0,19961,18,8,29,0,27,4150.0,89.0,199.0,4.0,285.0,6.0
145637,University of Illinois Urbana-Champaign,2023,22.0,44.0,28.0,16004.0,34468,19,5,11,0,37,6118.0,73.0,1011.0,12.0,1103.0,13.0
151102,Purdue University Fort Wayne,2023,40.0,86.0,25.0,9254.0,4607,5,6,9,0,70,1147.0,83.0,173.0,13.0,57.0,4.0
160038,Northwestern State University of Louisiana,2023,54.0,94.0,35.0,8864.0,4528,1,25,5,0,58,,,,,,
162928,Johns Hopkins University,2023,22.0,8.0,48.0,63340.0,5607,16,7,10,0,35,,,,,,
164988,Boston University,2023,19.0,11.0,36.0,65168.0,17899,15,5,9,0,33,425.0,14.0,1910.0,61.0,809.0,26.0
166027,Harvard University,2023,21.0,3.0,84.0,59076.0,7316,15,6,9,0,33,241.0,15.0,1145.0,70.0,257.0,16.0
166683,Massachusetts Institute of Technology,2023,18.0,5.0,86.0,60156.0,4543,21,5,10,0,23,89.0,8.0,879.0,81.0,123.0,11.0
168148,Tufts University,2023,12.0,10.0,50.0,67844.0,6685,16,6,10,0,43,388.0,22.0,1114.0,64.0,233.0,13.0
170976,University of Michigan-Ann Arbor,2023,18.0,18.0,47.0,17228.0,32345,16,5,9,0,45,,,,,,
171100,Michigan State University,2023,18.0,84.0,19.0,15988.0,37492,8,6,6,0,64,7226.0,76.0,1689.0,18.0,609.0,6.0
174066,University of Minnesota-Twin Cities,2023,22.0,77.0,22.0,16488.0,29124,11,7,6,0,56,4426.0,66.0,1771.0,26.0,488.0,7.0
179867,Washington University in St Louis,2023,20.0,12.0,47.0,62982.0,7576,14,7,9,0,36,219.0,12.0,1387.0,76.0,222.0,12.0
186131,Princeton University,2023,19.0,4.0,77.0,59710.0,5598,19,7,9,0,33,213.0,16.0,973.0,71.0,178.0,13.0
190150,Columbia University in the City of New York,2023,22.0,4.0,63.0,69045.0,8428,13,5,9,0,25,,,,,,
196176,State University of New York at New Paltz,2023,34.0,59.0,12.0,8524.0,5564,5,7,21,0,60,1063.0,95.0,52.0,5.0,3.0,0.0
198419,Duke University,2023,11.0,7.0,55.0,65805.0,6435,14,7,8,0,36,,,,,,
199120,University of North Carolina at Chapel Hill,2023,17.0,19.0,43.0,8989.0,19840,13,9,9,0,54,3735.0,79.0,723.0,15.0,221.0,5.0
199193,North Carolina State University at Raleigh,2023,18.0,40.0,36.0,8895.0,24925,8,6,8,0,61,4883.0,85.0,723.0,13.0,99.0,2.0
201645,Case Western Reserve University,2023,17.0,29.0,14.0,64671.0,6093,20,7,9,0,39,210.0,14.0,1064.0,69.0,184.0,12.0
209490,Oregon Health & Science University,2023,,,,,494,13,3,14,0,59,,,,,,
211024,Clarks Summit University,2023,44.0,90.0,36.0,32400.0,264,3,6,7,0,77,,,,,,
214625,Pennsylvania State University-Penn State New Kensington,2023,36.0,93.0,21.0,14380.0,387,2,6,6,0,76,,,,,,
215293,University of Pittsburgh-Pittsburgh Campus,2023,16.0,50.0,16.0,21524.0,19618,12,6,6,0,60,2546.0,56.0,1738.0,38.0,233.0,5.0
221999,Vanderbilt University,2023,22.0,6.0,57.0,63946.0,7087,13,9,10,0,46,203.0,13.0,1222.0,75.0,188.0,12.0
228778,The University of Texas at Austin,2023,27.0,29.0,49.0,11678.0,39787,22,5,25,0,33,8219.0,88.0,803.0,9.0,338.0,4.0
237011,Western Washington University,2023,21.0,91.0,24.0,9286.0,12327,6,2,11,0,69,2634.0,83.0,523.0,16.0,26.0,1.0
240444,University of Wisconsin-Madison,2023,17.0,43.0,29.0,11205.0,34278,9,3,8,0,57,3783.0,48.0,3498.0,44.0,675.0,8.0
243744,Stanford University,2023,20.0,4.0,81.0,62484.0,7841,22,6,13,0,25,629.0,37.0,800.0,47.0,269.0,16.0
